E [keV],epsilon (3 mm),epsilon (30 mm),epsilon (80 mm),epsilon (120 mm),epsilon (250 mm)
1,5.28121E-175,1.78785E-54,4.88987E-130,2.97322E-139,1.22777E-101
2,5.96137E-100,1.43596E-52,6.32129E-74,1.10859E-78,2.89558E-59
3,3.06940E-69,2.46036E-43,2.83113E-51,2.16455E-54,6.97398E-42
4,3.35809E-52,7.95922E-36,8.65563E-39,4.60229E-41,3.41071E-32
5,2.62408E-41,4.66365E-30,7.75140E-31,1.32034E-32,5.75240E-26
6,9.77043E-34,1.41066E-25,2.53467E-25,9.28927E-27,1.29143E-21
7,3.57024E-28,5.01599E-22,2.81999E-21,1.76642E-22,2.11421E-18
8,6.39508E-24,3.70730E-19,3.47988E-18,3.22512E-19,6.24236E-16
9,1.43403E-20,8.43370E-17,9.46407E-16,1.17916E-16,5.64057E-14
10,7.22492E-18,7.77690E-15,8.69619E-14,1.36279E-14,2.17070E-12
11,1.20102E-15,3.54154E-13,3.57253E-12,6.71257E-13,4.42257E-11
12,8.56993E-14,9.20607E-12,7.94660E-11,1.72793E-11,5.53855E-10
13,3.16245E-12,1.52240E-10,1.09586E-09,2.68463E-10,4.74003E-09
14,6.91195E-11,1.73957E-09,1.03387E-08,2.79501E-09,2.99510E-08
15,9.89973E-10,1.46421E-08,7.18084E-08,2.10773E-08,1.48041E-07
16,1.00345E-08,9.54711E-08,3.88233E-07,1.22131E-07,5.98163E-07
17,7.63970E-08,5.01933E-07,1.70589E-06,5.69164E-07,2.04441E-06
18,4.57808E-07,2.19758E-06,6.30179E-06,2.21106E-06,6.07182E-06
19,2.24132E-06,8.22592E-06,2.01072E-05,7.36692E-06,1.60106E-05
20,9.23825E-06,2.68998E-05,5.66310E-05,2.15404E-05,3.81396E-05
21,3.28529E-05,7.82380E-05,1.43308E-04,5.63129E-05,8.32507E-05
22,1.02850E-04,2.05443E-04,3.30617E-04,1.33664E-04,1.68470E-04
23,2.88237E-04,4.93224E-04,7.03845E-04,2.91740E-04,3.19159E-04
