Inverted,Yield,Error,Inverted
66Ti,7.99e-19,5.11e-19,66Ti
66V,1.42e-14,9.08e-15,66V
67V,2.75e-16,1.76e-16,67V
68V,1.6899999999999998e-17,1.0800000000000001e-17,68V
69V,2.82e-18,1.8e-18,69V
66Cr,1.71e-11,1.0900000000000001e-11,66Cr
67Cr,6.74e-12,4.309999999999999e-12,67Cr
68Cr,4.4799999999999996e-13,2.8699999999999994e-13,68Cr
69Cr,6.89e-14,4.41e-14,69Cr
70Cr,0.0,0.0,70Cr
71Cr,1.15e-17,7.380000000000001e-18,71Cr
66Mn,2.04e-09,1.31e-09,66Mn
67Mn,2.6800000000000003e-09,1.7199999999999999e-09,67Mn
68Mn,5.04e-10,3.23e-10,68Mn
69Mn,6.03e-11,3.86e-11,69Mn
70Mn,4.450000000000001e-12,2.8499999999999998e-12,70Mn
71Mn,2.2200000000000001e-13,1.42e-13,71Mn
72Mn,1.94e-15,1.24e-15,72Mn
73Mn,3.91e-16,2.5e-16,73Mn
74Mn,1.67e-17,1.07e-17,74Mn
66Fe,2.3799999999999998e-08,1.52e-08,66Fe
67Fe,7.67e-08,4.91e-08,67Fe
68Fe,4.35e-08,2.7799999999999997e-08,68Fe
69Fe,1.4499999999999999e-08,9.28e-09,69Fe
70Fe,3.5e-09,2.2399999999999997e-09,70Fe
71Fe,4.979999999999999e-10,3.19e-10,71Fe
72Fe,5.160000000000001e-11,3.3e-11,72Fe
73Fe,9.579999999999999e-12,6.129999999999999e-12,73Fe
74Fe,4.4299999999999993e-13,2.84e-13,74Fe
75Fe,7.0599999999999995e-15,4.52e-15,75Fe
76Fe,0.0,0.0,76Fe
77Fe,3.13e-16,2e-16,77Fe
66Co,3.63e-08,1.63e-08,66Co
67Co,1.95e-07,1.25e-07,67Co
68Co,2.05e-07,1.31e-07,68Co
69Co,1.73e-07,1.11e-07,69Co
70Co,1.0199999999999999e-07,6.530000000000001e-08,70Co
71Co,4.4100000000000004e-08,2.8199999999999998e-08,71Co
72Co,1.28e-08,8.190000000000001e-09,72Co
73Co,7.859999999999999e-09,5.03e-09,73Co
74Co,1.07e-09,6.85e-10,74Co
75Co,1.36e-10,8.7e-11,75Co
76Co,1.0800000000000001e-11,6.91e-12,76Co
77Co,6.02e-12,3.86e-12,77Co
78Co,5.92e-14,3.79e-14,78Co
79Co,1.39e-14,8.91e-15,79Co
66Ni,3.71e-08,1.1899999999999999e-08,66Ni
67Ni,2.1399999999999998e-07,9.630000000000001e-08,67Ni
68Ni,2.79e-07,1.26e-07,68Ni
69Ni,3.47e-07,2.22e-07,69Ni
70Ni,3.93e-07,2.52e-07,70Ni
71Ni,3.51e-07,2.25e-07,71Ni
72Ni,2.82e-07,1.8e-07,72Ni
73Ni,4.34e-07,2.7800000000000003e-07,73Ni
74Ni,1.91e-07,1.2199999999999998e-07,74Ni
75Ni,6.66e-08,4.26e-08,75Ni
76Ni,1.77e-08,1.1299999999999999e-08,76Ni
77Ni,6.7000000000000004e-09,4.29e-09,77Ni
78Ni,1.57e-09,1e-09,78Ni
79Ni,3.4099999999999996e-10,2.18e-10,79Ni
80Ni,5.36e-12,3.4299999999999997e-12,80Ni
81Ni,1.6299999999999999e-13,1.04e-13,81Ni
82Ni,0.0,0.0,82Ni
66Cu,3.71e-08,1.1899999999999999e-08,66Cu
67Cu,2.15e-07,6.88e-08,67Cu
68Cu,2.8e-07,1.26e-07,68Cu
68mCu,1.1699999999999999e-09,7.489999999999999e-10,68mCu
69Cu,3.5799999999999995e-07,1.6100000000000003e-07,69Cu
70Cu,2.07e-07,1.32e-07,70Cu
70mCu,2.3399999999999998e-07,1.5e-07,70mCu
71Cu,4.89e-07,3.13e-07,71Cu
72Cu,5.68e-07,2.56e-07,72Cu
73Cu,1.68e-06,1.08e-06,73Cu
74Cu,1.55e-06,9.92e-07,74Cu
75Cu,1.48e-06,9.47e-07,75Cu
76Cu,9.97e-07,6.38e-07,76Cu
77Cu,1.23e-06,7.87e-07,77Cu
78Cu,8e-07,5.12e-07,78Cu
79Cu,2.98e-07,1.91e-07,79Cu
80Cu,2.8199999999999998e-08,1.8e-08,80Cu
81Cu,3.14e-09,2.0100000000000003e-09,81Cu
82Cu,2.4899999999999997e-10,1.5900000000000002e-10,82Cu
83Cu,3.8199999999999995e-12,2.44e-12,83Cu
84Cu,2.47e-13,1.58e-13,84Cu
66Zn,3.71e-08,1.1899999999999999e-08,66Zn
67Zn,2.15e-07,6.88e-08,67Zn
68Zn,2.8e-07,8.960000000000001e-08,68Zn
69Zn,3.5799999999999995e-07,1.6100000000000003e-07,69Zn
69mZn,4.75e-11,3.04e-11,69mZn
70Zn,4.41e-07,1.0099999999999999e-07,70Zn
71Zn,4.9e-07,2.21e-07,71Zn
71mZn,4.79e-09,3.07e-09,71mZn
72Zn,6.05e-07,1.94e-07,72Zn
73Zn,2.06e-06,6.590000000000001e-07,73Zn
74Zn,2.72e-06,1.74e-06,74Zn
75Zn,4.27e-06,2.73e-06,75Zn
76Zn,6.34e-06,4.06e-06,76Zn
77Zn,1.7899999999999998e-05,1.1400000000000001e-05,77Zn
78Zn,3.34e-05,2.13e-05,78Zn
79Zn,3.35e-05,2.14e-05,79Zn
80Zn,1.05e-05,6.69e-06,80Zn
81Zn,3.37e-06,2.16e-06,81Zn
82Zn,9.31e-07,5.96e-07,82Zn
83Zn,9.35e-08,5.98e-08,83Zn
84Zn,6.559999999999999e-09,4.1999999999999996e-09,84Zn
85Zn,5.0100000000000007e-11,3.2100000000000004e-11,85Zn
86Zn,3.6699999999999995e-12,2.3500000000000003e-12,86Zn
87Zn,1.76e-13,1.13e-13,87Zn
66Ga,0.0,0.0,66Ga
67Ga,0.0,0.0,67Ga
68Ga,0.0,0.0,68Ga
69Ga,3.5799999999999995e-07,1.15e-07,69Ga
70Ga,4.02e-13,2.57e-13,70Ga
71Ga,4.95e-07,1.58e-07,71Ga
72Ga,6.05e-07,3.87e-07,72Ga
72mGa,9.299999999999999e-11,5.95e-11,72mGa
73Ga,2.06e-06,4.74e-07,73Ga
74Ga,2.25e-06,1.44e-06,74Ga
74mGa,2.07e-06,1.32e-06,74mGa
75Ga,4.62e-06,2.96e-06,75Ga
76Ga,7.95e-06,3.58e-06,76Ga
77Ga,3.19e-05,2.0399999999999998e-05,77Ga
78Ga,9.690000000000001e-05,6.2e-05,78Ga
79Ga,0.000217,0.000139,79Ga
80Ga,0.000157,0.0001,80Ga
81Ga,0.000151,9.68e-05,81Ga
82Ga,0.00011399999999999999,7.3e-05,82Ga
83Ga,3.9500000000000005e-05,2.5300000000000002e-05,83Ga
84Ga,8.61e-06,5.51e-06,84Ga
85Ga,9.65e-07,6.18e-07,85Ga
86Ga,5.7400000000000004e-08,3.67e-08,86Ga
87Ga,3.3899999999999997e-09,2.17e-09,87Ga
88Ga,1.56e-11,1.0000000000000001e-11,88Ga
89Ga,1.6200000000000002e-12,1.04e-12,89Ga
66Ge,0.0,0.0,66Ge
67Ge,0.0,0.0,67Ge
68Ge,0.0,0.0,68Ge
69Ge,0.0,0.0,69Ge
70Ge,4.02e-13,2.57e-13,70Ge
71Ge,0.0,0.0,71Ge
71mGe,0.0,0.0,71mGe
72Ge,6.05e-07,1.94e-07,72Ge
73Ge,2.06e-06,4.74e-07,73Ge
73mGe,2.06e-06,4.74e-07,73mGe
74Ge,2.77e-06,8.86e-07,74Ge
75Ge,4.62e-06,2.08e-06,75Ge
75mGe,1.8800000000000002e-07,8.46e-08,75mGe
76Ge,8e-06,1.84e-06,76Ge
77Ge,1.0800000000000002e-05,3.44e-06,77Ge
77mGe,2.8199999999999998e-05,1.27e-05,77mGe
78Ge,0.00011200000000000001,5.04e-05,78Ge
79Ge,0.000262,0.000168,79Ge
79mGe,6.4e-05,4.09e-05,79mGe
80Ge,0.000407,0.000183,80Ge
81Ge,0.00072,0.00046100000000000004,81Ge
82Ge,0.00135317,0.000866,82Ge
83Ge,0.00117023,0.000749,83Ge
84Ge,0.0008560000000000001,0.0005480000000000001,84Ge
85Ge,0.000285,0.000182,85Ge
86Ge,6.1e-05,3.91e-05,86Ge
87Ge,3.77e-06,2.41e-06,87Ge
88Ge,4.15e-07,2.66e-07,88Ge
89Ge,3.96e-08,2.54e-08,89Ge
90Ge,4.9700000000000007e-11,3.18e-11,90Ge
91Ge,8.79e-12,5.62e-12,91Ge
92Ge,9.25e-13,5.920000000000001e-13,92Ge
69As,0.0,0.0,69As
71As,0.0,0.0,71As
72As,0.0,0.0,72As
73As,0.0,0.0,73As
74As,2.1e-14,1.34e-14,74As
74mAs,1.53e-14,9.79e-15,74mAs
75As,4.62e-06,1.48e-06,75As
76As,5.6e-11,3.5799999999999995e-11,76As
77As,3.3e-05,5.28e-06,77As
78As,0.00011200000000000001,3.59e-05,78As
79As,0.000327,0.000147,79As
80As,0.00042699999999999997,0.00013700000000000002,80As
81As,0.000859,0.00038700000000000003,81As
82As,0.0017209,0.0007740000000000001,82As
82mAs,0.000368,0.000236,82mAs
83As,0.00361978,0.00115833,83As
84As,0.00266105,0.00170307,84As
84mAs,0.00180259,0.00115366,84mAs
85As,0.00402069,0.00257324,85As
86As,0.00232053,0.00148514,86As
87As,0.0005009999999999999,0.000321,87As
88As,0.000167,0.00010700000000000001,88As
89As,3.47e-05,2.22e-05,89As
90As,8.83e-07,5.65e-07,90As
91As,1.69e-07,1.08e-07,91As
92As,1.6399999999999998e-08,1.05e-08,92As
93As,2.34e-11,1.5e-11,93As
94As,2.42e-12,1.55e-12,94As
72Se,0.0,0.0,72Se
73Se,0.0,0.0,73Se
73mSe,0.0,0.0,73mSe
74Se,0.0,0.0,74Se
75Se,0.0,0.0,75Se
76Se,5.6e-11,3.5799999999999995e-11,76Se
77Se,3.3e-05,3.63e-06,77Se
77mSe,9.9e-08,1.58e-08,77mSe
78Se,0.00011200000000000001,2.58e-05,78Se
79Se,0.000327,0.000105,79Se
79mSe,0.000327,0.000147,79mSe
80Se,0.00042699999999999997,6.840000000000001e-05,80Se
81Se,0.0008619999999999999,0.000276,81Se
81mSe,2.59e-06,1.66e-06,81mSe
82Se,0.00213773,0.000342,82Se
83Se,0.00158191,0.0005059999999999999,83Se
83mSe,0.00237377,0.0007599999999999999,83mSe
84Se,0.008208799999999999,0.000493,84Se
85Se,0.00447351,0.00201308,85Se
85mSe,0.0025594999999999997,0.00163808,85mSe
86Se,0.0106911,0.00245896,86Se
87Se,0.00875955,0.00280305,87Se
88Se,0.00558551,0.00251348,88Se
89Se,0.0033734000000000004,0.00215898,89Se
90Se,0.0010639000000000002,0.000681,90Se
91Se,0.000188,0.00011999999999999999,91Se
92Se,1.98e-05,1.27e-05,92Se
93Se,5.72e-07,3.66e-07,93Se
94Se,6.41e-08,4.0999999999999997e-08,94Se
95Se,5.910000000000001e-11,3.7799999999999995e-11,95Se
96Se,2.47e-11,1.58e-11,96Se
97Se,3.7499999999999997e-13,2.4e-13,97Se
75Br,0.0,0.0,75Br
77Br,0.0,0.0,77Br
77mBr,0.0,0.0,77mBr
78Br,0.0,0.0,78Br
79Br,0.000327,7.509999999999998e-05,79Br
79mBr,5.11e-13,3.27e-13,79mBr
80Br,3.75e-11,2.3999999999999998e-11,80Br
80mBr,2.93e-11,1.8800000000000002e-11,80mBr
81Br,0.0008619999999999999,0.000198,81Br
82Br,1.2199999999999998e-07,7.809999999999999e-08,82Br
82mBr,3.31e-08,2.12e-08,82mBr
83Br,0.00395856,0.00023799999999999998,83Br
84Br,0.00822381,0.00022999999999999998,84Br
84mBr,3.19e-05,2.0399999999999998e-05,84mBr
85Br,0.00742815,0.000297,85Br
86Br,0.0116051,0.00127656,86Br
86mBr,0.00093,0.000595,86mBr
87Br,0.0153718,0.0009220000000000001,87Br
88Br,0.014788299999999997,0.00340131,88Br
89Br,0.019437799999999998,0.00447069,89Br
90Br,0.014418100000000001,0.00331615,90Br
91Br,0.00773263,0.00347968,91Br
92Br,0.00235861,0.00150951,92Br
93Br,0.0005009999999999999,0.000321,93Br
94Br,7.900000000000001e-05,5.0600000000000003e-05,94Br
95Br,1.14e-06,7.28e-07,95Br
96Br,3.5200000000000003e-07,2.25e-07,96Br
97Br,7.21e-09,4.6100000000000004e-09,97Br
98Br,9.8e-11,6.27e-11,98Br
99Br,7.91e-12,5.059999999999999e-12,99Br
100Br,1.3800000000000002e-13,8.83e-14,100Br
77Kr,0.0,0.0,77Kr
78Kr,0.0,0.0,78Kr
79Kr,0.0,0.0,79Kr
79mKr,0.0,0.0,79mKr
80Kr,3.75e-11,2.3999999999999998e-11,80Kr
81Kr,1.26e-13,8.06e-14,81Kr
81mKr,1.51e-14,9.66e-15,81mKr
82Kr,1.2199999999999998e-07,7.809999999999999e-08,82Kr
83Kr,0.00395856,5.539999999999999e-05,83Kr
83mKr,0.00395856,0.00011100000000000001,83mKr
84Kr,0.00825579,0.00011599999999999999,84Kr
85Kr,0.00148615,2.97e-05,85Kr
85mKr,0.00742856,0.000149,85mKr
86Kr,0.0129645,0.00013000000000000002,86Kr
87Kr,0.0162537,0.000325,87Kr
88Kr,0.0202602,0.000567,88Kr
89Kr,0.0267247,0.000534,89Kr
90Kr,0.0307717,0.00246173,90Kr
91Kr,0.0335108,0.00201065,91Kr
92Kr,0.0265094,0.00159056,92Kr
93Kr,0.014637899999999999,0.00117103,93Kr
94Kr,0.007422800000000001,0.00334026,94Kr
95Kr,0.00126578,0.00081,95Kr
96Kr,0.000342,0.00021899999999999998,96Kr
97Kr,8.02e-06,5.13e-06,97Kr
98Kr,2.6e-06,1.66e-06,98Kr
99Kr,1.94e-07,1.24e-07,99Kr
100Kr,3.6599999999999998e-09,2.3399999999999998e-09,100Kr
101Kr,2.2399999999999998e-11,1.43e-11,101Kr
102Kr,2.9300000000000002e-12,1.88e-12,102Kr
79Rb,0.0,0.0,79Rb
81Rb,0.0,0.0,81Rb
83Rb,3.52e-14,2.25e-14,83Rb
84Rb,5.72e-12,3.66e-12,84Rb
85Rb,0.00743056,7.43e-05,85Rb
86Rb,2.8e-08,1.79e-08,86Rb
86mRb,1.4e-08,8.959999999999999e-09,86mRb
87Rb,0.0162552,0.00016299999999999998,87Rb
88Rb,0.0202804,0.00040599999999999995,88Rb
89Rb,0.027610200000000005,0.000552,89Rb
90Rb,0.0277921,0.00222337,90Rb
90mRb,0.00479068,0.00153302,90mRb
91Rb,0.0402739,0.00161096,91Rb
92Rb,0.0415435,0.00332348,92Rb
93Rb,0.040952999999999996,0.00655249,93Rb
94Rb,0.0324281,0.00745846,94Rb
95Rb,0.0171274,0.00548076,95Rb
96Rb,0.012029799999999998,0.00276686,96Rb
97Rb,0.0008939999999999999,0.000572,97Rb
98Rb,0.0008460000000000001,0.000542,98Rb
99Rb,0.000169,0.00010800000000000001,99Rb
